x,y,t
23,66,1978
26,106,1999
33,165,2015
42,220,2034
57,282,2048
71,332,2069
82,361,2110
96,385,2128
115,403,2145
143,417,2161
226,422,2179
227,422,2194
430,383,2211
476,373,2234
492,372,2248
506,377,2549
527,383,2569
572,392,2610
587,395,2632
602,397,2646
613,398,2670
625,400,2683
633,401,2708
642,402,2729
648,402,2748
653,403,2771
657,405,2786
666,408,2827
671,410,2849
678,411,2874
686,412,2895
698,413,2946
703,413,2961
707,413,2978
711,413,2998
713,413,3011
715,413,3035
711,417,3307
708,421,3332
703,428,3345
702,432,3362
701,437,3378
702,440,3394
703,442,3412
