x,y,t
755,44,676
753,44,692
751,44,709
747,47,726
742,53,742
738,65,759
734,82,776
733,101,792
731,122,809
730,148,825
728,175,843
726,204,859
723,232,876
720,258,894
716,283,909
711,309,926
703,337,942
694,365,959
683,391,976
673,411,993
662,427,1009
650,439,1026
639,447,1043
629,452,1060
619,456,1076
609,458,1093
602,458,1110
595,456,1126
584,454,1143
569,451,1159
550,448,1177
526,444,1193
494,440,1210
458,433,1228
418,427,1244
377,421,1260
339,416,1277
304,412,1294
273,410,1310
247,410,1327
228,410,1345
212,416,1361
205,420,1376
