x,y,t
33,23,3674
39,39,3684
49,61,3698
121,181,3741
155,224,3749
182,252,3776
203,272,3788
241,302,3800
267,319,3813
290,330,3828
304,335,3838
316,338,3851
328,338,3864
339,337,3878
349,333,3891
359,328,3903
368,321,3915
378,307,3942
389,303,4188
423,296,4200
489,288,4212
560,285,4227
594,285,4258
607,287,4261
619,288,4279
628,290,4287
635,292,4301
641,293,4327
647,295,4339
652,299,4351
658,304,4364
665,309,4378
671,315,4396
676,321,4404
681,325,4432
685,329,4445
689,333,4459
693,337,4476
698,341,4485
704,347,4496
710,353,4512
716,359,4518
721,364,4532
725,369,4546
728,372,4561
730,375,4569
732,378,4583
733,381,4596
732,385,4611
731,390,4621
729,395,4633
727,399,4647
725,404,4674
723,408,4685
721,411,4698
719,414,4713
718,416,4725
717,418,4736
716,420,4748
714,422,4775
713,423,4787
713,423,4799
713,424,4813
713,424,4829
713,424,4839
713,425,4851
713,425,4863
