x,y,t
183,209,1496
176,232,1511
167,262,1534
156,304,1547
142,361,1561
136,388,1577
126,442,1594
123,458,1611
120,483,1627
120,496,1644
120,509,1660
120,535,1677
120,548,1694
121,559,1710
123,578,1727
124,587,1744
127,596,1760
135,612,1779
139,619,1794
144,625,1812
148,630,1827
158,638,1845
161,639,1860
166,639,1877
178,636,1894
186,633,1911
194,630,1927
204,626,1944
222,618,1961
230,615,1978
237,612,1995
249,607,2011
254,606,2029
259,604,2044
267,602,2060
271,601,2078
276,600,2094
283,599,2111
286,598,2128
288,598,2144
290,598,2160
292,598,2178
294,598,2193
295,598,2210
