x,y,t
643,155,1610
640,168,1621
637,185,1635
634,203,1661
631,218,1673
627,235,1686
619,264,1702
614,277,1719
609,288,1735
598,313,1752
592,325,1770
586,339,1786
575,370,1802
570,383,1819
565,396,1835
558,418,1852
555,428,1868
552,432,2154
548,440,2176
542,449,2188
536,457,2210
530,467,2227
522,476,2239
514,485,2264
499,502,2302
484,518,2319
476,525,2335
460,539,2352
452,546,2369
444,552,2385
434,557,2402
416,567,2419
406,571,2435
396,575,2452
378,579,2469
371,580,2485
364,580,2502
353,578,2519
349,576,2535
346,573,2552
339,565,2569
338,562,2585
337,560,2602
336,558,2619
335,554,2635
334,553,2652
332,552,2670
329,551,2686
325,549,2702
322,548,2719
315,546,2736
313,546,2752
311,545,2770
310,544,2786
309,544,2805
309,543,2820
309,542,2837
309,542,2885
