x,y,t
128,432,5727
131,432,5737
133,430,5745
138,429,5753
142,427,5762
148,426,5771
153,424,5778
159,423,5787
167,421,5795
173,420,5804
181,419,5811
189,418,5821
198,417,5828
207,415,5838
217,415,5845
226,415,5854
239,415,5861
250,415,5871
261,415,5878
273,415,5887
285,415,5895
297,415,5904
310,417,5912
325,418,5921
337,418,5928
353,418,5938
367,420,5945
380,420,5954
396,421,5962
411,422,5971
427,423,5978
443,424,5988
460,426,5995
476,428,6004
491,430,6011
505,432,6021
522,434,6028
536,435,6038
551,437,6045
562,437,6054
576,438,6062
589,438,6071
601,439,6078
614,440,6088
626,440,6095
638,440,6104
649,440,6112
659,440,6121
668,440,6128
677,440,6138
686,439,6145
693,437,6155
700,435,6162
706,432,6171
712,430,6178
717,426,6188
722,422,6195
725,418,6204
728,413,6211
731,408,6221
733,403,6228
736,397,6238
737,391,6245
739,385,6255
740,378,6261
742,370,6271
742,362,6278
744,352,6288
745,341,6295
746,332,6305
747,319,6311
749,307,6321
750,295,6328
752,283,6338
753,270,6345
755,257,6355
756,244,6362
758,232,6371
759,218,6378
761,206,6388
764,193,6395
767,180,6405
770,169,6412
773,157,6421
776,145,6428
780,135,6438
782,123,6445
784,112,6455
787,102,6461
789,93,6471
790,85,6478
793,77,6488
795,69,6495
797,64,6505
799,58,6512
