x,y,t
174,406,1230
178,404,1240
182,401,1248
187,397,1256
193,392,1265
200,387,1274
208,381,1281
218,373,1291
230,364,1298
243,356,1307
257,346,1315
272,336,1324
289,324,1331
308,312,1341
325,301,1348
341,290,1357
361,277,1364
381,265,1374
401,253,1381
421,241,1391
443,230,1398
467,217,1407
488,205,1415
509,192,1424
532,180,1431
554,168,1441
574,156,1448
593,145,1457
611,134,1464
629,123,1474
643,115,1481
657,105,1490
672,96,1498
682,89,1507
692,82,1514
702,76,1524
710,71,1531
717,66,1541
724,63,1548
730,60,1557
736,58,1564
742,56,1574
747,54,1581
190,391,6924
195,387,6933
200,383,6941
206,378,6950
215,373,6958
223,367,6967
234,360,6975
247,351,6984
260,341,6991
275,333,7001
292,320,7008
309,308,7018
327,296,7024
346,283,7034
366,270,7041
387,257,7051
409,243,7058
432,230,7068
458,216,7075
482,200,7085
506,186,7091
532,172,7101
556,158,7108
579,146,7117
598,135,7125
618,124,7135
636,115,7141
650,107,7151
665,99,7158
676,93,7168
686,89,7175
694,85,7185
700,82,7192
705,80,7201
708,79,7208
710,79,7218
707,79,7266
703,65,10975
699,65,10985
694,66,10993
688,69,11002
680,73,11010
671,77,11018
660,83,11028
648,89,11035
634,98,11044
619,106,11051
602,116,11061
582,129,11068
562,142,11078
542,156,11084
520,172,11095
500,186,11101
479,199,11111
458,213,11118
437,230,11128
415,246,11134
393,263,11144
372,279,11151
352,293,11161
333,307,11168
315,320,11177
300,330,11184
284,343,11194
270,353,11201
259,361,11211
249,370,11218
239,376,11228
232,381,11235
226,384,11244
222,388,11251
218,390,11261
215,391,11268
213,392,11278
212,393,11285
210,393,11294
209,394,11301
208,394,11311
207,395,11318
206,395,11328
205,395,11335
203,397,11344
201,398,11351
199,400,11361
196,401,11368
194,403,11378
190,404,11385
187,406,11394
