x,y,t
135,118,1346
135,131,1364
136,150,1382
137,174,1398
137,203,1415
139,228,1434
139,248,1448
139,269,1464
140,286,1484
140,303,1498
140,316,1514
139,328,1536
139,339,1549
139,350,1564
138,361,1581
138,371,1598
137,388,1614
137,395,1631
136,401,1650
136,407,1664
136,412,1681
135,416,1698
135,419,1714
134,426,1731
134,429,1747
134,433,1764
133,440,1781
133,444,1797
132,448,1814
132,454,1831
132,458,1848
132,461,1865
133,463,1881
133,468,1898
134,469,1915
134,470,1931
134,471,1948
134,472,1964
134,471,1992
136,469,2004
137,466,2018
139,462,2032
142,458,2048
152,448,2065
159,443,2082
167,437,2099
175,431,2115
185,425,2132
195,419,2148
206,414,2165
218,409,2181
231,405,2198
244,401,2215
257,398,2232
269,396,2248
281,394,2266
293,393,2281
302,392,2298
312,392,2315
327,391,2332
333,391,2351
340,391,2368
346,392,2383
352,392,2399
359,392,2415
367,393,2433
374,393,2448
381,394,2467
392,395,2485
397,395,2499
400,396,2516
403,396,2532
408,396,2548
410,396,2566
414,396,2582
417,396,2600
420,396,2615
423,396,2633
425,396,2648
427,395,2666
428,395,2683
430,395,2698
431,395,2715
