x,y,t
675,140,1631
675,148,1644
674,157,1667
672,168,1682
671,183,1694
669,209,1743
667,222,1760
667,235,1778
666,247,1794
665,258,1811
664,269,1827
664,280,1845
663,291,1861
662,301,1878
662,310,1895
661,318,1914
661,326,1928
660,333,1944
660,340,1961
660,347,1978
659,353,1994
659,358,2011
658,365,2028
658,368,2051
657,370,2065
657,371,2078
656,372,2094
653,373,2143
650,372,2161
648,371,2180
644,370,2194
638,369,2211
629,368,2231
616,366,2244
601,365,2261
586,365,2277
570,365,2296
554,366,2310
541,367,2327
528,368,2345
516,370,2362
504,371,2378
493,372,2395
473,373,2410
464,373,2427
456,373,2445
440,373,2462
434,373,2477
427,373,2494
421,373,2511
414,373,2527
408,373,2544
402,374,2560
397,375,2577
387,376,2595
383,376,2614
379,376,2627
375,376,2644
369,375,2660
366,374,2677
363,373,2694
361,372,2711
359,372,2727
357,372,2744
357,372,2761
