x,y,t
31,27,2733
32,37,2745
32,48,2772
33,62,2783
35,76,2797
36,96,2822
37,115,2836
40,131,2849
40,147,2874
41,163,2886
42,180,2898
42,195,2925
42,210,2938
42,222,2950
42,233,2962
42,245,2976
42,255,2990
42,263,3001
42,271,3015
42,278,3027
41,286,3040
40,291,3053
40,297,3066
40,303,3078
38,318,3091
38,326,3115
37,335,3116
37,342,3130
37,350,3142
37,357,3159
37,365,3170
37,372,3180
38,381,3194
40,390,3206
40,398,3219
41,415,3236
42,420,3248
42,425,3262
42,430,3277
43,432,3289
43,437,3302
43,437,3317
45,438,3332
45,440,3342
46,440,3365
47,440,3376
50,440,3387
53,437,3400
58,433,3410
63,428,3423
72,423,3437
81,418,3449
93,413,3461
106,408,3474
125,402,3488
143,397,3501
163,393,3513
181,391,3526
198,388,3538
216,386,3551
235,386,3564
252,385,3577
271,385,3590
290,385,3601
308,386,3615
327,387,3632
372,392,3642
396,395,3655
415,397,3668
435,401,3679
452,405,3692
468,410,3706
482,412,3717
495,415,3732
505,417,3744
515,418,3756
526,418,3768
537,418,3782
548,417,3794
558,416,3807
580,415,3819
590,413,3835
597,413,3846
606,412,3858
611,412,3870
616,411,3884
620,411,3897
622,411,3909
623,411,3921
628,411,4172
640,411,4195
651,411,4206
662,412,4230
672,412,4241
681,413,4256
688,413,4282
695,415,4294
698,415,4308
702,415,4340
705,415,4356
707,415,4365
708,415,4375
708,415,4408
