x,y,t
720,40,1684
718,60,1697
717,87,1730
715,115,1736
713,141,1750
711,161,1773
710,176,1787
710,192,1800
708,207,1825
708,222,1838
708,237,1852
707,251,1876
707,265,1890
707,277,1904
707,290,1917
706,313,1945
703,336,1972
702,345,1995
701,352,2007
700,358,2018
700,365,2031
698,370,2042
697,375,2066
697,380,2080
696,385,2092
695,388,2106
695,392,2118
693,397,2132
693,400,2144
692,403,2157
691,407,2168
691,410,2184
691,412,2195
690,413,2221
690,416,2248
688,416,2260
688,416,2283
687,417,2299
685,417,2310
680,416,2323
672,413,2335
663,411,2350
651,410,2360
637,407,2374
623,405,2387
607,402,2401
586,400,2414
565,397,2425
543,396,2436
522,395,2464
500,393,2476
481,393,2489
463,393,2502
445,393,2517
428,393,2527
412,393,2540
396,395,2553
381,395,2567
367,396,2579
353,396,2591
341,397,2604
330,397,2618
320,398,2632
310,398,2655
301,400,2667
292,401,2682
286,401,2694
278,402,2706
272,402,2719
265,403,2734
260,405,2745
253,406,2766
248,408,2769
242,410,2782
237,410,2794
232,411,2808
227,411,2819
223,411,2835
220,412,2844
216,412,2859
213,412,2873
211,412,2891
208,412,2901
207,412,2912
206,412,2950
