x,y,t
736,58,1143
736,60,1160
737,65,1174
738,73,1191
739,83,1210
740,98,1223
741,116,1241
742,141,1258
741,173,1274
740,208,1292
738,241,1308
736,274,1325
733,304,1341
733,331,1358
730,352,1375
727,370,1391
724,385,1407
720,399,1425
715,411,1442
711,419,1458
706,425,1475
701,430,1491
695,432,1511
690,433,1524
686,433,1543
678,432,1559
665,429,1574
648,426,1593
627,422,1608
603,418,1625
575,414,1642
543,412,1659
508,409,1677
466,407,1692
426,405,1710
390,404,1727
354,404,1743
324,405,1759
296,406,1776
272,409,1792
249,413,1810
233,417,1826
218,422,1843
209,424,1858
196,435,1874
