x,y,t
678,132,1277
679,134,1291
681,136,1307
683,141,1324
684,145,1340
685,153,1356
689,165,1373
693,182,1390
699,206,1407
706,232,1423
712,257,1440
716,283,1458
718,308,1473
717,331,1490
713,356,1508
706,383,1525
694,412,1540
682,443,1557
667,475,1574
651,506,1591
635,533,1607
617,558,1623
599,581,1641
581,598,1658
563,613,1674
544,626,1691
523,636,1707
500,645,1725
478,651,1741
455,655,1758
435,658,1775
413,661,1792
390,665,1807
367,668,1823
344,674,1840
323,678,1857
307,683,1873
296,685,1889
289,687,1907
273,698,1922
