x,y,t
34.66666793823242,49.33333206176758,2105
37.33333206176758,65.33333587646484,2117
38.66666793823242,80,2131
41.33333206176758,100,2148
42.66666793823242,120,2156
45.33333206176758,137.3333282470703,2168
46.66666793823242,153.3333282470703,2182
48,169.3333282470703,2196
49.33333206176758,184,2206
49.33333206176758,198.6666717529297,2220
49.33333206176758,210.6666717529297,2232
50.66666793823242,221.3333282470703,2246
50.66666793823242,233.3333282470703,2262
50.66666793823242,244,2271
49.33333206176758,254.6666717529297,2283
49.33333206176758,264,2297
48,273.3333435058594,2314
48,282.6666564941406,2321
45.33333206176758,296,2334
44,302.6666564941406,2352
42.66666793823242,309.3333435058594,2361
38.66666793823242,321.3333435058594,2396
37.33333206176758,329.3333435058594,2398
36,336,2413
34.66666793823242,344,2428
32,350.6666564941406,2437
29.33333396911621,361.3333435058594,2458
26.66666603088379,372,2480
25.33333396911621,377.3333435058594,2496
24,386.6666564941406,2509
22.66666603088379,389.3333435058594,2522
22.66666603088379,392,2534
22.66666603088379,394.6666564941406,2549
21.33333396911621,396,2564
21.33333396911621,397.3333435058594,2571
21.33333396911621,398.6666564941406,2582
21.33333396911621,400,2598
22.66666603088379,401.3333435058594,2629
24,402.6666564941406,2654
25.33333396911621,402.6666564941406,2666
28,405.3333435058594,2679
30.66666603088379,406.6666564941406,2692
33.33333206176758,406.6666564941406,2705
36,408,2717
40,409.3333435058594,2733
45.33333206176758,409.3333435058594,2744
52,410.6666564941406,2755
58.66666793823242,410.6666564941406,2769
68,410.6666564941406,2782
93.33333587646484,406.6666564941406,2795
108,405.3333435058594,2808
124,402.6666564941406,2820
146.6666717529297,400,2833
168,396,2847
192,392,2863
216,388,2871
240,385.3333435058594,2884
262.6666564941406,384,2897
304,380,2914
321.3333435058594,380,2923
337.3333435058594,381.3333435058594,2935
352,384,2948
377.3333435058594,396,2976
381.3333435058594,396,3238
390.6666564941406,396,3262
405.3333435058594,396,3272
422.6666564941406,396,3283
442.6666564941406,396,3298
460,396,3306
477.3333435058594,397.3333435058594,3320
496,397.3333435058594,3334
512,398.6666564941406,3346
529.3333129882812,400,3371
545.3333129882812,401.3333435058594,3384
558.6666870117188,404,3397
570.6666870117188,405.3333435058594,3413
582.6666870117188,406.6666564941406,3424
592,408,3435
602.6666870117188,408,3449
610.6666870117188,409.3333435058594,3460
618.6666870117188,412,3473
626.6666870117188,412,3492
633.3333129882812,412,3499
640,413.3333435058594,3515
645.3333129882812,413.3333435058594,3531
650.6666870117188,413.3333435058594,3543
656,413.3333435058594,3560
661.3333129882812,413.3333435058594,3571
666.6666870117188,413.3333435058594,3587
672,412,3595
676,412,3605
680,410.6666564941406,3613
682.6666870117188,410.6666564941406,3638
685.3333129882812,409.3333435058594,3651
688,409.3333435058594,3664
689.3333129882812,409.3333435058594,3681
690.6666870117188,408,3690
692,408,3704
693.3333129882812,408,3718
694.6666870117188,408,3729
696,408,3781
697.3333129882812,408,3883
697.3333129882812,406.6666564941406,3922
698.6666870117188,406.6666564941406,3960
704,408,4037
705.3333129882812,408,4050
706.6666870117188,408,4062
708,408,4088
710.6666870117188,408,4114
712,408,4127
713.3333129882812,408,4139
716,408,4152
717.3333129882812,408,4166
718.6666870117188,408,4178
720,408,4191
721.3333129882812,406.6666564941406,4204
722.6666870117188,406.6666564941406,4218
724,406.6666564941406,4228
725.3333129882812,406.6666564941406,4243
726.6666870117188,406.6666564941406,4280
