x,y,t
26,28,2272
26,44,2292
26,67,2308
27,101,2325
28,137,2346
29,168,2360
30,203,2376
32,232,2393
35,256,2411
37,277,2425
43,316,2443
46,332,2462
50,350,2478
52,363,2496
54,373,2508
56,382,2527
62,396,2542
65,401,2561
69,406,2575
83,410,2594
99,406,2609
119,399,2630
141,392,2646
175,382,2663
214,373,2675
252,368,2692
311,363,2708
329,362,2725
357,365,2751
378,371,2779
386,376,2796
435,407,2809
456,403,3061
483,399,3076
514,395,3094
545,393,3109
576,391,3125
597,390,3147
613,390,3161
626,390,3175
637,392,3198
647,393,3208
655,394,3225
662,395,3243
669,396,3261
681,400,3277
686,401,3297
692,404,3311
698,406,3327
703,409,3346
708,411,3359
712,412,3380
715,414,3393
718,415,3409
722,418,3426
724,418,3443
725,418,3464
725,419,3477
