x,y,t
708,41,1983
709,54,2001
711,76,2016
713,100,2029
716,124,2045
718,144,2066
721,164,2079
723,193,2093
724,205,2116
724,216,2126
723,226,2144
722,236,2161
716,255,2177
712,263,2194
709,271,2210
706,278,2226
701,291,2248
698,299,2264
695,306,2278
691,319,2294
688,326,2314
685,332,2327
681,338,2345
670,350,2362
664,355,2379
646,368,2395
636,374,2410
624,379,2428
611,384,2445
583,393,2460
569,397,2478
551,400,2498
509,404,2515
472,405,2531
457,405,2545
428,402,2561
414,398,2577
399,394,2594
374,386,2612
362,382,2628
351,378,2645
341,374,2662
323,368,2678
317,366,2695
311,364,2710
307,363,2727
305,362,2745
299,363,2989
287,366,3010
263,375,3026
253,379,3048
244,382,3063
237,385,3078
231,388,3094
223,393,3112
220,394,3129
218,395,3144
216,397,3170
