x,y,t
70,45,1104
71,93,1173
71,104,1175
71,116,1183
71,127,1191
71,139,1199
71,150,1208
71,162,1216
71,174,1225
71,186,1233
71,197,1242
71,210,1250
71,222,1258
71,233,1266
71,244,1277
71,254,1284
72,265,1294
73,276,1300
74,284,1311
75,293,1320
76,301,1327
76,308,1334
77,315,1344
77,321,1351
78,326,1361
79,330,1367
80,334,1377
82,337,1384
84,340,1394
86,343,1401
89,344,1410
92,347,1417
96,349,1427
99,350,1434
104,352,1444
109,353,1450
115,354,1461
121,356,1467
128,356,1477
135,357,1484
143,358,1494
152,359,1500
161,360,1511
172,362,1517
182,364,1527
193,366,1534
204,367,1544
216,370,1550
229,371,1561
243,373,1567
255,374,1578
269,376,1584
285,378,1594
300,380,1600
316,383,1610
331,384,1617
348,385,1627
365,387,1634
382,388,1644
399,390,1650
415,392,1660
434,394,1667
546,406,1719
563,408,1725
580,410,1733
595,412,1741
612,412,1751
627,413,1761
642,413,1767
656,413,1777
669,413,1784
682,413,1794
692,413,1801
703,413,1811
712,413,1817
719,413,1828
726,413,1834
732,412,1845
737,412,1851
741,412,1861
744,412,1868
746,412,1878
747,412,1884
