x,y,t
708,68,1115
708,72,1125
708,76,1138
708,82,1146
708,88,1154
708,96,1163
708,106,1173
707,118,1179
706,129,1189
706,142,1196
705,155,1206
704,171,1212
704,185,1223
703,203,1229
703,219,1239
703,232,1246
703,250,1256
703,264,1263
703,277,1273
703,293,1279
703,303,1289
703,315,1296
702,326,1306
701,333,1312
700,342,1322
699,349,1329
697,356,1339
695,361,1346
693,367,1355
690,373,1362
687,378,1373
683,383,1379
680,388,1389
675,393,1396
669,397,1406
662,400,1412
654,401,1423
645,403,1429
635,404,1439
623,404,1446
612,404,1455
598,404,1462
585,404,1472
570,404,1479
555,404,1490
542,404,1496
526,404,1506
511,403,1512
498,403,1522
481,401,1529
465,401,1539
449,400,1546
432,399,1556
415,398,1562
399,397,1572
384,395,1579
368,393,1589
356,392,1596
342,390,1606
330,388,1613
319,387,1622
309,385,1629
300,384,1640
294,383,1646
288,382,1656
283,382,1663
280,382,1673
278,382,1679
277,382,1689
277,383,1696
277,386,1706
