x,y,t
32,32,2104
31,89,2145
31,146,2162
31,187,2184
31,225,2196
32,261,2219
33,289,2233
34,311,2246
34,326,2270
35,338,2284
35,350,2309
36,362,2321
38,373,2337
40,383,2359
43,391,2380
48,399,2396
55,406,2414
64,411,2431
74,414,2446
88,415,2465
106,413,2480
129,409,2497
164,400,2513
191,395,2530
220,389,2546
248,386,2564
286,386,2580
315,386,2596
341,388,2616
362,390,2634
379,391,2651
393,392,2665
406,393,2691
427,391,2714
436,390,2735
448,390,2954
471,390,2966
500,391,2987
530,394,3001
567,398,3016
613,404,3062
630,407,3080
643,410,3097
653,412,3113
662,415,3132
669,417,3146
675,418,3162
680,420,3180
684,420,3196
687,421,3213
690,421,3230
692,421,3249
694,421,3263
695,421,3293
696,421,3312
