x,y,t
712,34,1963
710,54,1988
710,81,2001
711,126,2016
712,187,2030
712,228,2053
712,259,2066
709,293,2082
707,313,2096
706,326,2113
704,337,2129
701,370,2146
701,378,2163
701,387,2182
704,403,2200
707,411,2214
710,418,2231
717,430,2251
707,430,2545
690,429,2567
666,427,2580
636,423,2596
598,418,2613
555,414,2631
526,412,2646
500,410,2663
475,410,2679
439,409,2695
424,409,2720
409,410,2733
394,411,2747
379,411,2764
365,412,2780
336,411,2799
322,411,2815
308,411,2836
294,411,2848
281,410,2863
269,407,2879
259,404,2899
242,400,2914
235,399,2929
229,398,2946
221,397,2970
217,397,2981
214,397,2995
210,398,3013
203,401,3035
199,402,3066
194,402,3083
192,401,3097
190,401,3113
189,400,3130
188,400,3146
188,400,3164
