x,y,t
145,241,1629
138,255,1644
131,275,1661
121,303,1678
100,378,1695
95,411,1712
90,437,1729
87,461,1745
85,482,1761
82,502,1778
76,541,1795
71,572,1811
68,586,1828
66,597,1845
63,621,1862
62,632,1879
62,643,1895
62,660,1911
63,666,1928
67,676,1944
70,680,1961
75,686,1980
77,687,1994
78,687,2012
87,688,2028
92,687,2045
100,683,2062
118,672,2078
133,665,2095
177,651,2112
217,643,2128
232,643,2145
245,646,2163
333,662,2179
341,661,2441
360,658,2463
382,653,2479
407,648,2496
432,645,2512
452,641,2529
467,640,2545
481,638,2561
506,640,2578
517,641,2600
526,642,2613
535,645,2628
541,646,2645
547,647,2661
552,648,2678
557,650,2695
562,651,2711
566,651,2729
570,652,2744
572,652,2767
