x,y,t
748,127,1512
742,141,1524
738,156,1538
733,172,1554
728,191,1570
725,210,1586
715,290,1604
715,327,1620
717,358,1637
722,416,1653
723,445,1670
725,462,1687
725,478,1704
720,518,1719
717,528,1736
716,537,1753
700,598,1770
698,601,2026
698,608,2040
698,616,2053
698,623,2071
700,631,2088
700,640,2103
701,648,2120
702,657,2136
705,675,2154
707,683,2170
711,691,2186
716,703,2203
717,708,2228
720,713,2241
720,716,2254
721,718,2270
722,721,2287
722,722,2304
722,725,2321
722,725,2337
722,725,2353
718,727,2403
713,728,2420
698,728,2436
690,727,2453
678,726,2470
666,723,2486
630,717,2503
610,713,2521
573,706,2537
556,702,2553
538,700,2570
520,697,2587
502,695,2603
483,693,2620
466,691,2637
433,687,2653
417,686,2670
401,685,2686
387,683,2702
373,682,2720
360,682,2736
347,681,2753
335,681,2770
323,680,2786
312,677,2802
292,675,2822
282,673,2836
273,673,2853
266,672,2870
258,672,2886
251,672,2903
237,673,2920
230,675,2937
223,676,2954
217,677,2971
211,678,2987
206,678,3005
200,678,3021
195,678,3037
188,678,3054
185,678,3070
180,678,3087
176,678,3104
172,678,3119
170,680,3136
168,681,3154
168,681,3170
