x,y,t
30,42,2496
30,60,2509
32,86,2523
32,108,2546
34,134,2560
36,158,2576
38,182,2587
38,204,2598
38,228,2625
40,248,2638
40,268,2649
42,286,2661
42,302,2675
44,316,2690
44,328,2704
44,340,2713
46,352,2734
42,370,2754
42,378,2764
42,384,2776
42,390,2791
44,394,2807
46,400,2815
48,406,2842
50,412,2854
52,416,2869
54,420,2880
56,424,2918
60,426,2927
64,426,2952
70,426,2961
80,422,2973
94,416,2995
110,410,3010
130,402,3023
158,394,3038
186,386,3063
218,380,3079
260,374,3091
306,370,3108
354,368,3114
392,368,3138
426,370,3151
464,370,3162
500,372,3175
526,376,3204
550,378,3214
570,378,3226
586,378,3252
612,380,3526
630,382,3538
648,386,3560
664,388,3574
676,390,3598
686,392,3610
694,394,3624
700,396,3653
704,396,3662
710,396,3689
712,396,3701
716,398,3714
718,398,3739
