x,y,t
107,102,1409
99,144,1420
90,239,1438
87,299,1453
86,355,1470
87,369,1491
88,380,1507
92,402,1522
94,411,1540
93,417,1771
90,433,1787
87,450,1806
85,472,1827
84,497,1840
84,522,1865
84,542,1879
84,558,1891
85,571,1917
87,584,1936
89,595,1954
92,606,1970
96,616,1987
100,624,2005
105,632,2020
111,638,2037
121,642,2054
134,646,2074
152,647,2093
177,644,2105
208,640,2123
243,634,2138
285,629,2153
314,631,2170
346,640,2188
364,638,2436
390,637,2459
430,637,2476
458,638,2493
476,639,2524
488,640,2540
500,640,2555
510,639,2579
526,638,2597
532,637,2620
537,636,2637
541,636,2655
547,635,2678
549,635,2690
551,635,2710
553,635,2723
554,635,2740
556,635,2762
557,635,2776
559,636,2799
561,636,2820
561,636,2836
