x,y,t
695,190,1858
694,206,1870
692,235,1884
691,271,1910
690,371,1949
690,391,1964
691,411,1982
694,468,1997
698,510,2015
700,523,2033
701,536,2049
703,555,2066
705,606,2081
704,611,2368
701,619,2390
699,629,2401
697,640,2424
695,652,2447
694,663,2467
692,672,2481
690,680,2499
689,687,2514
688,692,2536
687,697,2550
686,700,2573
685,703,2586
682,707,2601
677,710,2624
670,713,2639
661,716,2654
647,719,2667
632,722,2689
616,726,2702
599,729,2718
570,732,2731
543,734,2752
515,735,2769
484,734,2782
458,732,2804
430,728,2818
403,722,2844
375,714,2865
335,702,2886
322,698,2898
310,694,2919
299,691,2933
289,689,2948
279,686,2970
270,684,2987
262,680,3000
255,676,3016
249,673,3032
244,670,3050
240,667,3065
238,666,3083
236,665,3098
235,665,3114
