x,y,t
31,37,105030
28,64,105041
28,95,105055
27,121,105069
27,143,105081
27,164,105094
27,181,105107
28,199,105122
29,216,105145
31,233,105157
33,251,105172
39,281,105183
40,295,105195
43,316,105221
44,325,105233
44,335,105246
45,343,105259
47,352,105272
47,361,105284
47,369,105298
47,376,105310
48,381,105323
48,385,105336
48,389,105349
48,392,105361
48,393,105374
48,396,105389
48,397,105413
79,389,105662
147,379,105685
307,369,105696
460,369,105730
689,383,105746
769,392,105758
799,396,105784
816,397,105796
828,399,105813
836,400,105826
843,400,105834
837,401,106034
828,403,106047
817,404,106068
807,405,106080
795,407,106091
783,409,106118
772,411,106133
761,411,106147
751,411,106158
741,411,106187
735,409,106202
728,409,106216
723,408,106227
717,408,106247
713,407,106261
711,407,106272
709,407,106297
707,407,106310
705,407,106360
