x,y,t
733,120,1013
734,122,1028
737,127,1044
742,136,1061
746,150,1079
751,170,1094
755,198,1112
759,232,1129
762,272,1145
762,314,1161
761,356,1179
758,394,1195
752,428,1212
747,457,1228
740,483,1246
733,504,1261
726,520,1279
720,535,1295
713,546,1311
711,552,1328
708,556,1346
703,560,1363
698,566,1380
692,569,1395
684,572,1411
675,574,1429
665,574,1445
653,574,1461
638,573,1479
621,570,1495
603,567,1511
584,562,1529
564,556,1545
553,554,1562
524,546,1579
503,542,1595
480,539,1612
454,538,1629
427,538,1646
397,540,1662
367,544,1679
342,548,1696
322,554,1713
305,558,1730
291,564,1746
281,568,1763
275,573,1779
272,575,1796
270,576,1814
270,577,1827
