x,y,t
707,45,2041
703,123,2057
703,179,2084
707,244,2096
713,311,2107
719,345,2123
723,369,2134
725,389,2148
728,405,2160
731,419,2173
732,431,2184
732,441,2199
731,451,2213
727,463,2224
724,465,2235
720,469,2249
716,472,2262
711,476,2274
705,477,2288
699,480,2300
691,481,2314
683,481,2327
671,481,2341
657,481,2351
641,480,2364
617,473,2377
576,461,2394
517,444,2407
455,431,2423
393,419,2434
344,409,2449
307,405,2462
279,401,2477
259,399,2485
243,397,2498
228,393,2510
213,389,2531
192,383,2556
185,380,2568
179,377,2581
173,376,2593
169,375,2610
165,375,2619
163,375,2632
159,375,2658
156,375,2670
153,377,2684
151,379,2697
148,381,2710
147,383,2725
145,384,2734
145,387,2747
147,387,2773
149,392,3090
149,395,3104
151,399,3116
151,405,3128
151,415,3144
