x,y,t
705,128,8760
705,133,8777
705,137,8793
704,143,8810
701,148,8827
699,154,8843
696,159,8860
696,163,8877
694,165,8894
693,168,8911
691,172,8927
690,174,8944
688,179,8960
687,182,8977
685,183,8994
684,188,9010
682,191,9027
681,194,9044
679,195,9060
679,199,9077
678,202,9093
678,203,9110
676,205,9127
675,208,9143
675,211,9160
675,214,9177
673,215,9193
672,218,9210
670,223,9227
668,225,9243
667,229,9260
665,232,9277
664,234,9293
664,237,9310
664,240,9327
664,243,9343
662,243,9360
662,246,9377
662,247,9393
662,249,9410
662,251,9427
661,251,9443
661,252,9460
661,254,9493
659,255,9543
659,257,9560
658,260,9577
656,263,9593
653,267,9610
653,274,9627
652,277,9643
649,281,9660
647,284,9677
647,287,9694
646,290,9711
644,293,9727
642,296,9744
642,300,9761
642,303,9777
641,304,9794
639,307,9811
638,310,9827
636,313,9844
636,315,9861
636,316,9877
636,318,9894
636,319,9928
635,321,9944
633,324,9961
632,327,9977
632,333,9994
632,338,10011
630,344,10027
630,349,10044
629,353,10061
627,356,10077
626,361,10094
626,364,10111
624,368,10128
624,373,10144
623,378,10161
621,382,10177
621,384,10194
621,388,10211
621,391,10227
621,394,10244
621,399,10261
619,404,10277
619,407,10294
618,411,10311
616,413,10328
615,419,10344
613,422,10361
612,425,10377
610,428,10394
610,433,10411
610,436,10427
609,440,10444
607,443,10461
606,450,10478
604,454,10494
603,462,10511
603,466,10527
601,473,10544
601,479,10561
601,483,10577
601,488,10594
601,494,10611
600,499,10628
600,503,10644
600,509,10661
600,514,10677
598,517,10694
598,522,10711
597,523,10727
595,528,10744
593,532,10761
592,535,10777
590,543,10794
589,548,10811
586,554,10827
584,560,10844
581,564,10861
578,572,10877
577,577,10894
574,581,10911
569,586,10927
566,590,10944
561,595,10961
558,601,10977
555,606,10994
552,610,11011
548,615,11027
544,621,11044
540,626,11061
535,630,11077
532,633,11094
528,639,11111
525,642,11128
522,647,11144
517,650,11161
512,653,11177
511,656,11194
506,661,11211
502,662,11227
499,665,11244
494,670,11261
491,673,11277
485,676,11294
480,679,11311
477,682,11327
471,684,11344
466,687,11361
459,690,11377
454,693,11394
448,693,11411
443,696,11428
437,698,11444
430,701,11461
424,702,11477
416,702,11494
408,704,11511
402,705,11527
394,708,11544
388,710,11561
382,711,11577
379,711,11594
375,711,11611
371,711,11627
370,711,11661
368,711,11677
365,711,11694
364,711,11711
361,710,11727
361,708,11745
358,707,11761
356,705,11777
353,704,11794
350,702,11811
349,702,11827
345,702,11844
339,701,11861
336,701,11877
332,699,11894
329,699,11911
326,699,11927
321,699,11944
319,699,11961
318,699,11977
318,698,12061
318,693,12078
326,688,12094
333,682,12111
339,681,12127
344,678,12144
345,678,12161
347,678,12177
341,684,12244
332,693,12260
321,702,12277
312,713,12294
304,722,12311
300,725,12327
298,728,12344
298,730,12361
309,731,14395
313,731,14411
318,731,14428
321,731,14444
326,731,14461
329,731,14478
330,731,14494
333,731,14511
335,731,14528
338,731,14544
339,731,14561
341,731,14578
342,731,14594
344,731,14611
345,731,14628
347,731,14644
349,731,14678
324,722,15578
326,722,15595
327,722,15611
329,722,15628
332,722,15645
335,722,15661
338,722,15678
341,722,15694
347,722,15712
352,722,15728
359,722,15745
364,722,15761
370,722,15778
376,722,15795
382,722,15812
388,722,15828
394,722,15845
401,722,15861
407,721,15878
414,719,15895
420,717,15913
427,716,15927
433,714,15944
437,713,15961
442,713,15978
447,711,15995
450,710,16011
454,708,16028
459,707,16044
463,704,16061
469,702,16078
473,701,16095
479,696,16111
482,693,16128
488,690,16145
491,685,16161
497,682,16178
502,681,16194
505,678,16211
509,675,16228
512,673,16244
515,670,16262
518,665,16278
523,662,16294
526,659,16311
531,655,16328
535,652,16344
540,646,16361
544,642,16377
551,638,16394
554,633,16411
558,627,16428
561,621,16444
566,616,16461
566,612,16478
571,604,16494
572,600,16511
575,593,16528
577,587,16544
580,581,16561
581,574,16578
584,566,16594
587,558,16611
589,551,16628
590,543,16644
592,535,16661
595,529,16678
598,523,16694
600,515,16711
601,508,16728
603,502,16744
604,494,16761
607,486,16778
610,479,16794
610,473,16811
612,466,16828
615,460,16844
618,453,16861
619,445,16878
621,440,16894
623,434,16911
624,431,16928
627,425,16944
630,419,16961
632,413,16978
632,407,16994
633,404,17011
635,396,17028
636,391,17044
638,384,17061
639,378,17078
641,373,17094
642,365,17111
644,359,17128
646,353,17145
647,347,17161
649,341,17177
650,335,17194
652,330,17211
653,324,17228
653,319,17244
655,313,17261
656,309,17278
658,303,17294
659,296,17311
662,290,17327
664,284,17344
665,277,17361
667,272,17378
670,266,17394
672,260,17411
675,254,17428
676,247,17444
679,243,17461
681,238,17478
682,234,17494
684,229,17511
685,223,17528
688,217,17544
690,211,17561
691,205,17578
693,200,17594
694,194,17611
696,189,17628
698,183,17644
699,176,17661
702,171,17678
704,165,17694
705,162,17711
707,157,17728
707,153,17744
708,148,17761
711,143,17778
714,137,17794
716,134,17811
717,130,17828
717,128,17844
719,125,17861
719,123,17894
457,690,18828
462,690,18845
469,690,18861
477,690,18878
483,687,18895
491,684,18911
495,682,18928
502,679,18944
506,676,18961
512,675,18978
515,672,18995
520,668,19011
525,665,19028
531,662,19044
535,658,19061
540,655,19077
544,652,19095
549,647,19111
554,642,19128
557,636,19145
560,629,19161
564,619,19178
567,612,19194
571,603,19211
574,593,19228
577,584,19245
578,575,19261
580,567,19278
583,560,19294
584,554,19311
586,546,19328
589,540,19345
590,534,19361
592,529,19378
593,525,19394
595,523,19411
597,520,19428
597,518,19444
598,518,19511
598,520,19611
598,525,19627
598,531,19645
598,538,19661
598,548,19678
595,557,19695
589,567,19711
586,578,19728
581,589,19744
577,600,19761
572,609,19778
567,616,19794
564,624,19811
560,632,19828
555,636,19845
551,642,19861
546,650,19878
543,655,19894
537,661,19911
534,665,19928
529,670,19944
523,673,19961
517,678,19978
512,682,19995
503,684,20011
495,685,20028
488,687,20044
479,688,20061
469,688,20078
459,688,20094
448,690,20111
437,691,20128
427,693,20145
416,696,20161
407,698,20178
401,699,20194
