x,y,t
257,854,923
264,878,939
264,878,939
268,891,956
268,891,956
272,906,973
272,906,973
276,923,989
276,923,989
277,933,1006
277,933,1006
277,939,1023
277,939,1023
277,947,1039
277,947,1039
277,952,1056
275,957,1073
275,957,1073
273,961,1089
273,961,1089
271,964,1106
271,964,1106
269,967,1123
269,967,1123
267,970,1140
267,970,1140
267,972,1156
267,972,1156
267,971,1173
267,971,1173
267,970,1189
267,970,1189
267,970,1206
267,970,1222
266,970,1240
156,543,3989
156,549,4006
156,557,4022
156,569,4039
156,583,4056
156,597,4072
156,612,4088
156,624,4105
156,639,4121
156,652,4138
156,662,4155
156,672,4171
156,678,4188
156,685,4205
156,693,4221
156,698,4238
156,702,4255
156,708,4271
156,713,4288
156,716,4305
157,719,4321
159,722,4338
160,725,4355
165,728,4371
166,731,4388
171,733,4405
176,734,4421
179,736,4438
183,737,4455
188,739,4471
194,740,4488
202,742,4505
211,742,4521
220,742,4538
229,742,4555
238,742,4571
247,742,4588
255,742,4605
264,742,4621
270,742,4638
275,742,4655
281,740,4671
287,737,4688
295,736,4705
301,733,4721
307,730,4738
315,724,4755
321,721,4772
329,714,4788
338,710,4805
344,704,4822
350,699,4840
356,694,4855
362,690,4871
368,684,4888
373,679,4905
379,673,4921
385,667,4938
390,661,4955
394,653,4971
399,647,4988
404,641,5005
405,633,5022
410,623,5037
411,613,5054
413,604,5072
413,595,5087
413,586,5104
413,578,5121
413,571,5138
413,561,5154
413,552,5172
411,543,5188
408,535,5204
405,529,5222
404,523,5238
401,517,5254
398,512,5271
394,508,5287
393,503,5304
388,499,5322
384,492,5338
381,488,5354
376,483,5372
371,477,5387
368,473,5404
364,469,5422
361,465,5438
356,462,5454
350,457,5470
344,453,5487
336,451,5504
327,448,5520
318,445,5537
306,443,5554
295,443,5572
284,443,5588
275,443,5604
264,443,5622
258,443,5638
252,445,5654
244,453,5672
240,462,5688
235,469,5704
234,477,5722
232,485,5738
232,494,5754
232,500,5772
232,505,5787
232,512,5804
232,518,5822
234,523,5838
238,529,5854
244,534,5872
252,540,5888
260,543,5904
270,548,5921
281,551,5937
295,554,5954
307,555,5972
318,557,5988
329,557,6004
338,557,6022
344,557,6038
350,557,6054
353,557,6073
356,557,6088
358,554,6104
359,552,6121
359,551,6138
359,549,6154
359,546,6172
359,544,6188
356,543,6204
350,543,6222
345,543,6238
338,543,6254
329,543,6272
319,543,6288
310,543,6304
300,543,6322
290,543,6337
280,543,6354
267,543,6372
258,544,6388
249,546,6404
241,549,6421
232,554,6438
225,554,6454
218,557,6472
211,558,6488
206,560,6504
203,561,6522
199,561,6538
197,561,6554
194,561,6572
192,558,6588
191,552,6604
191,543,6622
191,535,6638
191,525,6654
191,512,6672
191,499,6688
192,483,6704
199,468,6721
206,453,6737
215,437,6754
225,422,6771
238,404,6788
247,388,6804
258,373,6821
270,358,6838
280,344,6854
292,330,6871
304,316,6888
316,304,6904
329,293,6922
339,283,6938
353,274,6955
367,264,6971
381,258,6988
394,254,7005
408,251,7021
425,247,7038
440,246,7055
459,244,7072
477,244,7088
492,244,7104
509,246,7121
522,252,7138
532,260,7155
538,264,7171
543,270,7188
544,274,7204
546,274,7221
546,275,7238
546,277,7254
546,278,7305
