x,y,t
5,5,0
714,36,1872
712,50,1898
708,90,1940
706,110,1950
706,132,1963
708,152,1977
708,170,1989
708,190,2001
708,208,2014
710,224,2027
710,242,2041
712,258,2053
712,274,2065
712,286,2078
712,298,2093
712,308,2106
712,318,2115
710,328,2129
710,338,2144
710,350,2156
710,360,2169
712,374,2180
712,386,2197
714,396,2213
714,414,2226
716,420,2242
716,424,2249
716,428,2265
716,432,2277
716,434,2292
716,436,2299
716,438,2310
714,438,2347
712,438,2360
710,438,2375
708,438,2384
704,438,2398
698,436,2411
690,432,2425
678,426,2436
666,420,2473
612,402,2488
594,396,2499
572,392,2513
548,388,2526
524,384,2541
498,380,2551
474,380,2564
448,380,2577
422,380,2591
398,380,2602
374,380,2615
352,380,2628
332,380,2642
314,382,2654
296,384,2666
280,384,2680
266,386,2693
254,388,2708
246,390,2718
236,390,2730
228,392,2743
222,394,2760
214,396,2768
208,398,2782
202,400,2795
196,402,2810
192,402,2821
190,404,2833
186,404,2846
184,404,2866
182,406,2886
180,406,2910
