x,y,t
28,20,2110
28,25,2122
27,31,2135
25,39,2148
23,48,2161
20,68,2173
18,79,2187
17,92,2199
16,103,2212
15,116,2224
14,128,2238
14,140,2250
14,163,2264
15,173,2276
16,183,2297
17,191,2302
18,201,2315
20,210,2327
25,231,2340
28,242,2353
31,253,2364
35,264,2379
39,275,2391
42,285,2404
48,303,2417
51,311,2431
54,319,2442
59,327,2456
64,337,2469
77,355,2481
84,364,2494
90,372,2506
96,380,2519
102,386,2533
109,394,2545
112,397,2557
114,399,2571
116,402,2583
117,402,2597
118,401,2653
119,400,2665
121,397,2677
125,394,2689
136,386,2712
143,382,2726
150,377,2738
157,372,2751
164,368,2776
171,363,2789
177,359,2814
183,354,2818
189,349,2827
194,345,2840
207,338,2852
214,334,2865
221,331,2877
227,328,2890
234,325,2905
240,323,2917
246,319,2932
252,316,2948
258,313,2960
264,310,2972
273,308,2984
280,305,2998
287,303,3008
293,302,3019
299,300,3033
305,299,3044
310,298,3057
319,296,3069
324,295,3084
329,294,3099
333,294,3108
337,293,3121
343,292,3135
347,291,3149
352,290,3160
356,289,3172
364,288,3185
367,288,3202
370,287,3211
372,287,3222
374,287,3237
376,286,3251
377,286,3262
378,286,3275
379,286,3287
379,286,3301
379,286,3316
382,285,3339
382,286,3390
381,286,3416
381,286,3441
381,286,3453
381,286,3467
381,286,3484
380,286,3491
380,285,4132
380,285,4327
386,286,4598
397,289,4609
408,291,4633
418,294,4647
429,297,4670
440,299,4684
451,301,4697
463,303,4709
475,306,4734
488,309,4748
501,312,4760
514,315,4785
527,319,4800
541,323,4813
554,328,4824
566,332,4837
577,337,4851
587,342,4866
597,346,4890
606,351,4901
614,355,4918
623,360,4927
630,364,4952
638,368,4966
644,372,4981
651,375,4993
658,378,5005
664,381,5033
669,384,5048
675,387,5059
681,390,5071
687,394,5084
694,397,5094
700,400,5105
706,403,5132
710,405,5145
714,407,5156
717,409,5169
719,410,5185
721,411,5198
722,412,5208
724,412,5221
725,413,5234
726,413,5251
727,413,5260
727,413,5272
