x,y,t
32,40,1856
34,59,1869
38,87,1881
47,120,1907
63,164,1920
103,233,1931
152,298,1946
205,351,1958
241,375,1972
268,386,1984
285,391,1997
304,394,2009
319,396,2022
335,395,2048
347,393,2062
358,390,2072
366,387,2085
371,383,2100
387,380,2359
416,376,2384
459,373,2406
509,372,2419
569,374,2434
602,378,2457
623,382,2471
639,385,2485
651,388,2508
662,390,2521
672,392,2549
680,393,2560
687,394,2582
693,395,2599
698,396,2611
702,397,2636
705,397,2651
707,398,2669
709,398,2685
711,399,2710
712,400,2725
713,401,2737
713,403,2751
714,404,2773
715,406,2794
716,407,2805
717,408,2828
719,410,2840
721,411,2867
723,411,2879
723,412,2891
724,412,2917
