x,y,t
67,30,15810
68,39,15827
70,52,15842
71,69,15859
73,88,15876
74,108,15893
76,127,15910
77,147,15926
77,169,15944
78,194,15959
78,220,15976
79,247,15993
80,273,16010
82,296,16027
82,316,16043
85,335,16060
87,353,16076
92,368,16093
96,381,16110
102,389,16126
112,398,16143
126,404,16160
145,408,16177
167,410,16195
190,410,16213
218,408,16226
248,405,16243
283,403,16261
321,399,16277
361,396,16293
402,394,16310
445,394,16327
489,393,16343
533,393,16360
575,393,16378
614,393,16395
649,393,16412
681,396,16428
702,399,16445
717,402,16461
731,403,16477
740,405,16495
742,406,16509
