x,y,t
729,47,1616
729,49,1631
729,53,1646
730,58,1663
730,67,1679
730,79,1697
729,94,1713
729,114,1729
727,139,1747
725,167,1763
724,198,1782
723,232,1797
722,267,1814
721,300,1831
720,331,1847
718,360,1865
716,386,1881
715,407,1897
714,423,1913
714,432,1930
713,436,1947
713,441,1964
711,443,1981
709,446,1997
706,448,2014
701,448,2031
692,448,2048
677,446,2065
656,443,2081
630,441,2097
599,438,2114
562,434,2131
523,431,2148
483,428,2164
440,426,2181
400,424,2198
362,422,2214
327,421,2232
296,419,2249
267,417,2265
241,416,2281
221,416,2298
206,417,2315
189,419,2331
185,420,2346
