x,y,t
151,755,1659
162,740,1705
173,726,1723
186,711,1738
202,692,1756
218,672,1773
236,653,1789
250,637,1812
267,618,1825
281,602,1839
293,588,1863
305,576,1877
315,562,1901
325,550,1914
343,526,1955
352,513,1972
362,502,1992
370,492,2006
378,482,2029
385,472,2043
392,462,2055
398,452,2080
405,442,2093
411,433,2107
417,423,2131
425,413,2145
437,395,2189
445,385,2209
451,376,2223
457,368,2246
462,361,2260
468,353,2285
473,348,2298
478,343,2310
483,338,2337
487,335,2356
492,331,2375
497,327,2388
502,325,2413
506,321,2427
508,318,2451
511,317,2473
513,316,2489
516,315,2505
517,313,2522
518,312,2543
520,312,2556
520,311,2583
520,311,2605
520,311,2621
