x,y,t
602,567,1886
596,553,1903
587,538,1920
577,522,1937
567,506,1953
555,488,1974
540,467,1989
527,450,2013
513,432,2026
500,416,2039
488,401,2064
477,388,2076
466,377,2091
453,366,2115
442,355,2128
431,345,2141
421,335,2166
410,326,2179
390,310,2219
380,303,2237
370,296,2256
361,290,2269
351,283,2286
341,277,2308
333,272,2323
326,267,2338
320,263,2353
313,258,2370
307,253,2391
303,250,2403
300,245,2420
297,241,2437
295,236,2453
293,231,2470
292,225,2488
291,220,2504
291,215,2520
291,210,2536
291,205,2553
291,201,2570
290,197,2586
290,195,2603
290,191,2620
290,190,2637
290,187,2654
290,185,2670
290,183,2686
290,182,2704
290,181,2721
