x,y,t
18,27,1293
22,42,1309
25,52,1326
27,65,1338
30,80,1355
35,118,1376
36,138,1391
41,181,1406
42,198,1422
46,227,1440
47,240,1454
51,270,1474
52,277,1488
53,285,1504
55,291,1522
57,307,1539
58,311,1555
60,315,1571
61,320,1593
62,321,1610
60,327,1678
58,327,1692
57,328,1737
57,328,1756
56,328,1772
55,330,1788
55,330,1807
53,330,1822
53,330,1844
53,330,1860
53,330,1873
53,330,1889
53,331,1905
53,331,1934
53,331,1955
55,331,1975
55,331,1998
55,331,2059
55,331,2087
56,330,2106
58,330,2126
61,330,2141
63,328,2162
67,328,2187
70,328,2205
72,327,2223
77,325,2239
85,317,2260
88,313,2281
93,311,2287
98,308,2306
107,303,2320
111,301,2338
116,298,2355
122,295,2372
126,292,2387
130,291,2405
137,286,2422
140,285,2439
146,280,2456
151,276,2473
152,275,2494
153,273,2505
156,272,2526
158,270,2542
160,268,2555
160,267,2574
162,266,2590
162,266,2605
162,265,2634
163,265,2654
163,263,2671
163,262,2687
163,262,2704
163,261,2721
163,260,2737
163,258,2756
163,258,2771
163,258,2789
163,258,2827
163,260,2839
163,261,2888
163,261,2910
163,261,2924
162,260,2944
172,262,3260
188,265,3283
210,270,3305
228,275,3324
252,280,3338
273,285,3354
307,292,3372
325,295,3390
340,297,3406
356,300,3423
372,302,3441
387,305,3455
405,308,3472
421,311,3487
437,315,3505
453,318,3522
486,327,3540
502,332,3557
517,337,3572
531,342,3588
543,347,3605
556,353,3622
576,363,3639
585,368,3662
593,372,3676
615,381,3720
630,383,3739
637,386,3755
646,387,3775
653,388,4025
662,391,4048
670,393,4059
677,395,4081
682,397,4094
687,398,4108
691,400,4133
695,401,4156
700,401,4173
703,401,4188
708,402,4204
712,402,4220
717,402,4238
725,402,4254
728,403,4276
730,403,4289
732,405,4304
733,406,4327
735,407,4340
735,407,4354
