x,y,t
708,45,1894
708,57,1913
710,71,1929
710,106,1947
711,125,1961
711,162,1979
712,178,1995
713,208,2015
713,233,2030
713,245,2048
713,255,2062
712,265,2080
712,280,2095
711,293,2115
708,307,2129
708,313,2152
707,318,2162
706,330,2178
706,335,2195
703,346,2212
703,356,2229
702,362,2247
702,367,2263
702,382,2280
701,386,2296
701,390,2312
700,392,2329
700,397,2349
698,401,2363
697,401,2378
695,401,2396
693,401,2412
691,400,2430
687,398,2447
681,395,2462
676,393,2479
670,393,2497
646,397,2513
635,400,2532
625,401,2546
602,401,2564
572,400,2579
551,398,2595
508,398,2612
486,398,2629
467,400,2662
407,403,2679
377,407,2712
331,413,2733
321,415,2746
303,417,2764
296,418,2783
288,418,2802
276,420,2814
266,420,2835
261,420,2852
257,420,2867
250,417,2879
242,416,2895
237,415,2911
233,413,2929
228,413,2953
212,408,2967
210,407,2978
207,407,2995
202,405,3015
201,405,3029
200,405,3045
200,403,3062
198,403,3078
200,403,3096
202,405,3111
