x,y,t
23,21,3353
30,46,3365
45,94,3375
66,148,3387
88,196,3401
107,229,3415
122,254,3425
137,277,3439
147,289,3452
155,298,3465
171,310,3481
178,314,3496
184,317,3502
189,318,3516
215,311,3766
298,311,3778
408,326,3800
509,354,3812
599,391,3823
632,405,3836
644,411,3850
653,415,3864
661,419,3875
662,418,4145
666,415,4157
671,411,4170
676,408,4183
680,405,4209
683,402,4221
687,400,4234
689,399,4249
692,397,4260
693,397,4287
695,396,4303
695,396,4316
696,396,4331
697,396,4342
697,396,4355
698,396,4367
699,396,4389
699,396,4438
700,396,4450
700,397,4465
701,397,4477
702,398,4488
703,399,4502
707,401,4529
709,402,4541
710,402,4554
711,403,4567
711,404,4583
712,405,4592
713,405,4618
