x,y,t
214,399,1468
226,397,1493
243,395,1506
266,393,1519
288,393,1532
308,393,1545
326,395,1559
340,397,1569
353,399,1596
367,403,1608
380,407,1621
393,412,1634
404,417,1647
413,423,1660
419,421,1897
435,418,1908
457,414,1931
489,411,1943
528,410,1954
568,410,1967
595,410,1992
615,409,2005
629,408,2018
641,406,2032
651,405,2044
668,403,2070
675,402,2083
688,400,2109
694,399,2120
699,398,2134
704,397,2146
708,396,2159
712,396,2172
716,395,2185
718,395,2197
721,395,2210
723,394,2226
724,394,2240
725,394,2254
726,393,2268
726,393,2281
726,393,2294
726,393,2309
727,392,2321
727,387,2333
724,376,2354
718,355,2366
707,321,2378
698,285,2400
693,262,2413
688,234,2426
684,212,2439
682,200,2452
682,187,2477
681,176,2490
680,167,2502
680,159,2517
680,154,2528
680,150,2554
679,148,2566
680,143,2778
683,133,2789
685,124,2812
686,115,2824
688,107,2836
689,100,2849
691,94,2875
692,89,2887
693,84,2899
694,79,2914
694,74,2928
695,70,2938
695,65,2964
696,61,2977
697,58,2991
697,55,3003
697,53,3015
698,51,3042
698,49,3053
699,47,3066
701,45,3079
703,42,3096
705,39,3104
706,37,3143
708,35,3144
709,34,3157
710,32,3169
710,31,3205
711,30,3217
712,29,3229
712,29,3250
712,28,3263
