x,y,t
744,335,1420
744,335,1842
33.33333206176758,52,5221
36,85.33333587646484,5243
40,124,5261
44,164,5272
48,214.6666717529297,5285
54.66666793823242,265.3333435058594,5297
60,293.3333435058594,5312
64,309.3333435058594,5323
68,325.3333435058594,5335
72,341.3333435058594,5349
76,356,5363
80,370.6666564941406,5374
85.33333587646484,384,5386
92,397.3333435058594,5401
97.33333587646484,413.3333435058594,5413
112,440,5425
120,453.3333435058594,5438
130.6666717529297,465.3333435058594,5451
144,476,5464
158.6666717529297,486.6666564941406,5479
173.3333282470703,496,5496
188,502.6666564941406,5507
202.6666717529297,508,5522
229.3333282470703,513.3333129882812,5536
241.3333282470703,514.6666870117188,5551
254.6666717529297,513.3333129882812,5569
269.3333435058594,510.6666564941406,5579
284,506.6666564941406,5589
302.6666564941406,497.3333435058594,5600
320,486.6666564941406,5614
336,478.6666564941406,5622
350.6666564941406,469.3333435058594,5634
366.6666564941406,461.3333435058594,5648
380,453.3333435058594,5656
394.6666564941406,446.6666564941406,5669
406.6666564941406,441.3333435058594,5682
417.3333435058594,436,5697
428,430.6666564941406,5707
436,426.6666564941406,5720
442.6666564941406,422.6666564941406,5733
446.6666564941406,422.6666564941406,5967
454.6666564941406,421.3333435058594,5983
468,420,5990
482.6666564941406,420,6015
513.3333129882812,420,6030
538.6666870117188,420,6053
558.6666870117188,420,6067
577.3333129882812,420,6081
600,420,6094
617.3333129882812,420,6105
632,420,6131
645.3333129882812,421.3333435058594,6145
657.3333129882812,421.3333435058594,6156
665.3333129882812,421.3333435058594,6169
673.3333129882812,422.6666564941406,6182
678.6666870117188,422.6666564941406,6196
684,424,6221
688,424,6233
692,425.3333435058594,6248
694.6666870117188,425.3333435058594,6262
697.3333129882812,425.3333435058594,6277
700,425.3333435058594,6298
704,425.3333435058594,6310
708,425.3333435058594,6323
710.6666870117188,424,6336
716,422.6666564941406,6351
721.3333129882812,420,6365
726.6666870117188,414.6666564941406,6373
730.6666870117188,410.6666564941406,6386
734.6666870117188,408,6400
737.3333129882812,406.6666564941406,6413
740,404,6439
741.3333129882812,405.3333435058594,6463
742.6666870117188,406.6666564941406,6477
744,408,6489
744,409.3333435058594,6531
