x,y,t
708,44,2678
706,60,2704
704,82,2716
702,102,2741
700,124,2755
698,146,2769
696,168,2792
696,188,2805
696,210,2831
696,230,2843
696,250,2870
696,270,2882
696,288,2894
696,304,2923
696,322,2933
694,336,2946
694,350,2971
692,364,2986
692,378,2996
692,390,3023
692,402,3037
692,414,3047
692,424,3074
692,434,3087
692,444,3099
690,450,3113
688,458,3138
684,464,3153
678,472,3163
666,478,3176
650,482,3202
632,486,3221
612,490,3228
588,492,3243
564,494,3270
540,494,3281
516,494,3293
490,494,3305
466,490,3322
440,488,3343
416,484,3355
392,480,3371
366,476,3394
344,472,3406
324,468,3421
302,462,3433
284,458,3445
250,448,3485
236,446,3495
222,442,3522
208,440,3535
196,436,3547
186,434,3572
178,432,3589
170,430,3610
166,428,3624
164,428,3639
