x,y,t
32,36,4736
31,62,4752
31,108,4763
31,151,4779
32,193,4795
33,237,4812
35,278,4829
38,316,4846
40,332,4862
41,347,4878
43,361,4896
48,386,4912
55,407,4929
56,416,4946
65,456,4962
76,451,5245
106,442,5261
147,431,5282
223,415,5296
363,395,5312
501,383,5329
583,375,5345
666,375,5362
683,376,5379
698,378,5398
711,380,5412
722,382,5429
731,386,5446
738,388,5463
738,390,5757
738,390,5778
737,391,5828
736,391,5846
735,391,5862
733,390,5879
732,390,5895
731,390,5912
730,390,5931
728,390,5946
726,390,5962
726,390,5978
