x,y,t
710,30,2850
708,42,2864
706,61,2878
703,78,2895
703,98,2917
702,118,2929
700,141,2946
698,162,2961
698,180,2978
696,233,2995
696,248,3011
697,262,3029
701,290,3046
705,303,3062
708,320,3081
713,345,3096
717,353,3112
718,361,3129
720,366,3145
721,370,3162
722,372,3178
722,372,3309
721,372,3328
721,372,3344
720,372,3401
720,373,3425
718,373,3519
715,377,3542
711,380,3563
707,382,3578
705,385,3595
701,386,3611
697,388,3632
691,391,3645
683,393,3661
675,396,3683
665,398,3696
651,400,3721
620,403,3761
603,405,3780
582,406,3798
561,406,3812
538,407,3836
516,407,3878
476,408,3895
458,408,3914
441,408,3938
422,408,3952
403,408,3978
386,408,3994
370,407,4014
353,407,4029
338,405,4052
323,403,4066
310,402,4091
296,401,4104
286,400,4117
276,398,4161
261,397,4179
253,397,4202
247,397,4216
242,397,4228
236,397,4249
231,397,4262
226,398,4283
222,400,4296
220,400,4320
217,400,4333
215,400,4346
213,400,4370
213,400,4411
