x,y,t
219,409,3676
223,409,3708
227,410,3720
233,410,3737
245,410,3752
262,410,3771
285,412,3786
309,412,3805
334,412,3821
359,412,3838
383,411,3856
408,411,3870
432,410,3886
457,409,3903
480,409,3922
500,409,3939
519,409,3953
539,409,3970
560,409,3986
580,410,4004
599,412,4019
616,412,4037
632,413,4055
645,414,4072
662,415,4087
678,415,4103
694,415,4119
706,415,4137
715,414,4154
723,413,4170
730,412,4188
734,411,4204
736,409,4221
738,406,4238
738,404,4254
738,402,4271
736,396,4288
733,390,4305
730,378,4322
724,359,4338
723,348,4354
714,307,4371
710,283,4388
706,260,4405
702,238,4421
698,217,4437
694,193,4455
692,170,4472
690,150,4487
689,141,4505
688,117,4522
688,107,4538
688,98,4555
688,88,4572
688,77,4588
689,68,4606
691,60,4622
693,53,4639
694,48,4656
694,44,4672
695,41,4689
697,39,4707
698,37,4722
699,36,4739
699,35,4755
700,34,4772
