x,y,t
732,105.33333587646484,2238
728,113.33333587646484,2249
724,120,2261
718.6666870117188,128,2272
714.6666870117188,136,2296
712,144,2312
708,152,2325
705.3333129882812,158.6666717529297,2336
702.6666870117188,165.3333282470703,2347
700,173.3333282470703,2354
698.6666870117188,180,2381
696,186.6666717529297,2392
696,192,2404
693.3333129882812,197.3333282470703,2417
693.3333129882812,204,2434
692,209.3333282470703,2448
690.6666870117188,216,2458
689.3333129882812,222.6666717529297,2473
688,229.3333282470703,2486
686.6666870117188,236,2500
686.6666870117188,244,2508
685.3333129882812,250.6666717529297,2534
684,258.6666564941406,2548
682.6666870117188,268,2559
681.3333129882812,277.3333435058594,2572
678.6666870117188,286.6666564941406,2585
677.3333129882812,296,2612
676,305.3333435058594,2624
676,316,2636
674.6666870117188,325.3333435058594,2651
673.3333129882812,334.6666564941406,2663
670.6666870117188,344,2687
670.6666870117188,354.6666564941406,2701
669.3333129882812,365.3333435058594,2714
668,376,2726
668,385.3333435058594,2738
668,396,2751
666.6666870117188,408,2766
666.6666870117188,418.6666564941406,2778
665.3333129882812,428,2789
665.3333129882812,436,2803
665.3333129882812,445.3333435058594,2830
664,461.3333435058594,2841
664,470.6666564941406,2854
664,480,2867
664,490.6666564941406,2883
664,506.6666564941406,2892
664,514.6666870117188,2904
664,524,2918
664,532,2932
664,538.6666870117188,2943
665.3333129882812,546.6666870117188,2956
665.3333129882812,556,2969
666.6666870117188,564,2984
666.6666870117188,570.6666870117188,2999
668,578.6666870117188,3007
669.3333129882812,585.3333129882812,3020
668,589.3333129882812,3270
665.3333129882812,598.6666870117188,3282
662.6666870117188,606.6666870117188,3304
660,616,3318
658.6666870117188,624,3346
657.3333129882812,632,3352
656,638.6666870117188,3366
654.6666870117188,646.6666870117188,3383
653.3333129882812,653.3333129882812,3391
653.3333129882812,660,3417
653.3333129882812,666.6666870117188,3432
652,673.3333129882812,3446
652,678.6666870117188,3457
652,684,3468
652,688,3498
652,692,3513
652,694.6666870117188,3523
652,698.6666870117188,3536
652,701.3333129882812,3550
652,704,3557
652,706.6666870117188,3571
652,709.3333129882812,3586
652,712,3601
652,714.6666870117188,3609
652,717.3333129882812,3635
652,718.6666870117188,3648
652,720,3661
652,721.3333129882812,3686
652,722.6666870117188,3699
649.3333129882812,722.6666870117188,3801
646.6666870117188,720,3815
642.6666870117188,718.6666870117188,3839
637.3333129882812,714.6666870117188,3863
620,710.6666870117188,3878
608,708,3891
593.3333129882812,705.3333129882812,3904
578.6666870117188,704,3931
562.6666870117188,701.3333129882812,3942
546.6666870117188,700,3954
529.3333129882812,698.6666870117188,3967
513.3333129882812,697.3333129882812,3982
496,697.3333129882812,3992
480,696,4019
464,696,4033
448,694.6666870117188,4046
434.6666564941406,693.3333129882812,4057
420,690.6666870117188,4069
406.6666564941406,689.3333129882812,4084
394.6666564941406,688,4107
384,686.6666870117188,4123
373.3333435058594,685.3333129882812,4134
364,684,4148
354.6666564941406,682.6666870117188,4172
346.6666564941406,681.3333129882812,4184
338.6666564941406,680,4198
332,680,4211
326.6666564941406,678.6666870117188,4236
321.3333435058594,677.3333129882812,4249
318.6666564941406,677.3333129882812,4262
314.6666564941406,676,4287
312,676,4301
310.6666564941406,674.6666870117188,4316
309.3333435058594,674.6666870117188,4326
308,674.6666870117188,4352
306.6666564941406,673.3333129882812,4379
305.3333435058594,673.3333129882812,4402
