x,y,t
160,152,2162
162,174,2174
162,202,2200
164,230,2212
166,256,2238
168,280,2276
174,328,2286
174,350,2310
176,370,2319
176,388,2343
176,406,2354
176,424,2382
176,440,2397
178,454,2413
178,468,2438
178,482,2451
178,494,2463
178,506,2492
180,518,2497
180,528,2519
182,540,2532
184,548,2559
186,556,2571
186,562,2597
188,568,2610
190,574,2621
190,580,2635
192,586,2664
194,590,2672
194,594,2686
196,598,2712
196,600,2725
198,602,2737
198,604,2763
200,604,2852
202,602,2877
204,602,2891
206,600,2903
210,598,2929
216,594,2942
226,592,2967
242,586,2980
258,582,2995
280,578,3017
302,574,3031
328,570,3046
352,566,3069
378,564,3082
404,562,3096
430,562,3120
456,562,3134
476,562,3160
496,562,3171
514,562,3184
528,562,3210
542,562,3223
556,564,3248
568,564,3261
576,564,3275
584,566,3300
590,566,3314
596,566,3337
600,568,3350
604,568,3364
606,568,3388
608,568,3402
610,568,3431
612,568,3443
614,568,3470
616,568,3545
