x,y,t
684,160,1520
682,180,1534
680,204,1558
680,228,1572
678,254,1587
676,276,1610
674,300,1623
672,320,1649
672,342,1661
670,362,1673
668,380,1699
666,398,1711
666,414,1739
664,430,1751
664,444,1766
664,458,1788
662,470,1802
662,482,1826
662,494,1840
660,506,1866
660,518,1878
660,530,1904
660,538,1918
660,546,1930
660,554,1955
660,564,1972
662,570,1993
662,578,2007
662,584,2019
662,588,2044
662,592,2057
662,596,2084
662,598,2095
662,600,2108
660,602,2134
658,604,2159
654,608,2198
644,610,2224
630,610,2236
612,612,2254
592,614,2261
572,614,2287
550,614,2301
528,614,2350
480,614,2361
458,614,2372
434,614,2395
414,614,2406
394,616,2428
376,616,2444
358,616,2458
344,618,2471
330,618,2487
320,618,2501
310,618,2526
300,618,2538
288,618,2552
280,618,2573
272,618,2595
264,618,2606
256,618,2620
252,618,2645
246,618,2658
244,618,2684
242,618,2698
