x,y,t
36,24,1678
49,34,1682
62,50,1707
69,74,1720
69,105,1745
62,138,1758
53,169,1770
47,186,1784
43,198,1797
40,208,1810
37,218,1822
35,230,1836
35,240,1847
36,252,1861
39,267,1874
50,288,1887
64,311,1900
83,333,1913
108,358,1925
127,375,1937
144,388,1951
158,398,1963
169,405,1976
180,411,1989
191,415,2002
202,412,2253
233,410,2264
280,410,2286
353,414,2298
461,425,2310
529,442,2323
564,449,2336
588,454,2347
608,457,2362
619,458,2374
629,459,2387
638,460,2400
640,461,2413
647,456,2635
656,450,2657
663,445,2682
670,441,2694
676,437,2720
680,434,2733
684,431,2762
688,427,2771
690,424,2797
693,421,2810
696,417,2835
698,414,2847
700,412,2873
702,410,2886
703,408,2912
704,407,2925
706,407,2950
707,407,2964
708,406,2977
710,406,3002
712,406,3014
714,406,3029
716,406,3054
717,406,3065
718,406,3090
719,406,3104
