x,y,t
101,37,2269
100,47,2283
98,63,2295
95,86,2307
91,109,2334
87,139,2346
82,178,2359
80,228,2373
79,281,2390
81,319,2407
87,362,2424
91,377,2440
94,389,2457
99,401,2474
115,435,2490
121,444,2507
128,452,2523
143,463,2541
151,467,2560
158,470,2585
179,471,2599
185,469,2612
193,462,2626
199,456,2642
212,444,2657
218,438,2673
225,434,2690
245,422,2707
253,419,2726
261,415,2741
279,408,2758
288,405,2773
297,402,2790
307,399,2807
328,393,2824
338,391,2840
349,389,2857
371,386,2873
382,388,2890
400,392,2908
454,406,2924
459,407,3192
465,410,3207
471,412,3223
476,413,3242
479,414,3257
481,415,3274
483,416,3290
484,416,3307
