x,y,t
762,86,1911
755,101,1926
745,121,1943
738,145,1960
722,202,1976
714,239,1993
707,275,2010
698,339,2026
697,360,2043
695,377,2060
694,390,2077
691,421,2093
690,428,2110
689,434,2135
688,438,2145
685,441,2366
680,449,2377
675,457,2401
669,465,2416
663,473,2429
657,482,2444
650,491,2460
643,500,2477
636,509,2494
620,527,2510
613,535,2526
607,542,2543
601,547,2560
586,561,2577
581,565,2593
577,569,2610
573,573,2627
565,581,2647
560,585,2662
555,589,2679
542,599,2693
535,603,2710
526,607,2726
501,605,2744
489,604,2760
474,600,2777
444,592,2794
430,588,2812
413,578,2827
397,569,2844
373,556,2861
361,551,2877
349,546,2898
338,542,2912
327,539,2928
318,536,2944
309,535,2961
301,534,2979
294,533,2994
288,533,3011
275,533,3027
269,534,3046
263,535,3061
258,536,3077
252,538,3095
247,538,3111
242,540,3128
231,542,3144
222,545,3168
218,546,3184
215,546,3194
213,547,3211
212,547,3228
210,547,3245
