x,y,t
751,160,1174
748,171,1192
746,187,1209
743,205,1226
741,220,1243
736,248,1259
733,263,1275
728,288,1292
726,298,1309
723,308,1325
718,327,1342
715,335,1359
712,343,1375
705,358,1392
701,365,1416
697,372,1430
692,380,1443
687,386,1459
683,392,1475
678,398,1492
665,416,1509
658,421,1525
653,427,1542
641,436,1558
635,440,1575
627,443,1592
608,448,1608
598,450,1626
587,448,1642
566,446,1658
555,445,1675
545,443,1691
525,441,1710
515,440,1726
507,440,1742
500,438,1760
485,436,1775
481,436,1794
478,436,1809
475,435,1825
473,435,1842
472,433,1891
