x,y,t
153,316,2167
153,330,2193
153,347,2206
152,368,2246
152,392,2263
152,413,2283
152,432,2296
152,450,2320
152,483,2362
151,498,2380
151,513,2398
151,526,2414
151,537,2436
150,548,2449
150,558,2462
150,567,2479
150,576,2500
148,585,2514
148,591,2529
148,598,2552
148,603,2565
148,608,2580
148,613,2609
148,617,2616
148,620,2629
148,622,2648
148,623,2664
150,625,2681
150,626,2696
150,626,2713
152,627,2730
155,627,2747
160,626,2764
166,623,2779
175,620,2796
185,613,2812
196,607,2831
208,601,2850
222,597,2864
236,593,2885
250,590,2908
263,586,2919
291,582,2962
303,581,2984
317,578,2999
331,578,3023
360,577,3062
373,577,3081
386,578,3100
408,580,3146
418,580,3163
428,581,3180
437,581,3196
446,582,3212
460,582,3229
467,585,3253
482,590,3292
487,591,3314
492,592,3336
498,595,3363
501,595,3380
503,596,3399
506,597,3413
507,597,3429
508,597,3446
508,597,3464
508,597,3479
