x,y,t
29,30,2182
32,49,2202
38,88,2219
45,141,2236
54,202,2253
70,270,2269
80,310,2286
92,353,2302
98,367,2319
105,382,2335
113,394,2352
135,411,2369
149,417,2386
192,425,2402
215,426,2419
277,426,2436
308,426,2453
339,426,2469
364,427,2486
397,428,2502
409,429,2519
419,426,2748
436,424,2759
455,424,2782
475,423,2794
492,423,2810
505,423,2832
516,423,2845
528,423,2860
540,423,2871
550,424,2896
560,424,2908
570,424,2923
579,425,2948
588,426,2970
606,429,2988
614,430,3011
621,430,3024
629,429,3039
636,428,3055
643,426,3071
650,424,3086
657,422,3104
663,419,3124
668,417,3137
677,414,3154
680,413,3170
684,413,3192
686,413,3208
688,413,3221
690,413,3238
691,413,3254
693,413,3276
695,413,3287
697,413,3303
698,413,3320
699,413,3338
700,412,3354
700,412,3370
