x,y,t
711,45,1891
711,75,1917
711,124,1931
709,187,1945
709,309,1960
709,346,1976
709,361,1993
709,388,2010
709,399,2026
710,409,2047
716,518,2061
710,518,2382
699,518,2397
683,516,2411
656,512,2426
624,507,2445
577,500,2459
521,488,2478
420,465,2495
392,458,2514
366,450,2527
342,442,2543
312,430,2560
301,426,2577
290,423,2594
272,417,2610
265,416,2635
260,414,2647
255,413,2662
249,412,2676
244,411,2694
237,410,2710
226,408,2731
221,407,2743
218,407,2761
215,407,2778
214,407,2794
213,407,2810
213,407,2827
