x,y,t
50,53,2400
80,81,2427
164,163,2438
314,292,2452
509,430,2465
675,531,2478
676,532,2490
718,552,2503
752,564,2515
778,568,2531
791,569,2543
800,569,2553
804,568,2567
802,564,2816
797,558,2830
791,551,2858
785,544,2872
780,536,2884
775,529,2907
769,521,2917
764,512,2939
759,504,2951
753,495,2977
748,486,2988
742,478,3014
734,469,3031
728,461,3053
722,455,3065
716,449,3079
713,444,3104
710,439,3116
708,435,3145
707,431,3155
707,426,3167
707,419,3195
707,411,3206
706,405,3219
706,399,3245
705,395,3259
704,393,3293
703,391,3296
702,390,3321
701,390,3334
