x,y,t
220,404,1073
244,396,1085
277,388,1110
338,379,1124
467,374,1136
468,374,1159
529,374,1163
582,378,1175
601,380,1187
612,381,1214
621,382,1226
631,382,1239
641,383,1264
652,385,1277
662,386,1290
671,388,1302
678,389,1328
684,390,1342
689,391,1354
693,391,1368
696,392,1379
699,392,1405
701,392,1418
702,393,1433
704,393,1443
704,393,1469
705,393,1483
706,394,1493
706,394,1507
707,394,1525
707,395,1537
707,395,1564
707,395,1608
707,395,1619
708,395,1631
708,395,1652
708,394,1676
708,388,1698
706,376,1711
701,350,1736
694,315,1749
688,287,1763
684,273,1787
681,254,1799
678,228,1815
676,203,1838
675,183,1851
674,172,1864
674,162,1889
675,151,1902
677,141,1928
680,129,1942
683,119,1953
686,109,1966
688,101,1980
690,94,1995
692,89,2005
693,85,2030
694,81,2045
695,77,2056
696,71,2068
698,64,2081
700,57,2096
701,51,2107
702,46,2120
703,42,2132
704,39,2147
705,36,2164
705,33,2192
705,31,2196
705,30,2212
706,28,2222
706,28,2234
706,26,2247
706,26,2263
706,25,2286
