x,y,t
5,5,0
34,62,2161
32,74,2172
28,98,2185
26,114,2198
24,128,2213
24,142,2224
22,158,2236
22,176,2252
20,208,2264
20,224,2281
20,240,2295
18,254,2304
18,268,2316
16,296,2331
16,308,2346
16,318,2354
16,330,2366
16,338,2379
16,348,2389
16,354,2401
18,360,2414
22,368,2429
24,370,2440
28,372,2453
32,374,2466
36,376,2479
42,378,2495
60,382,2504
70,382,2517
82,384,2530
94,386,2548
108,388,2555
122,390,2568
156,396,2592
192,402,2607
214,406,2620
238,408,2632
262,410,2645
330,416,2662
360,416,2670
386,418,2684
408,418,2697
428,418,2712
462,420,2722
478,422,2735
494,422,2748
506,424,2764
518,424,2772
528,424,2786
540,426,2800
544,426,2814
550,426,2823
552,426,2837
556,426,2850
562,426,2864
564,426,2880
566,426,2889
570,424,2901
576,424,2914
600,420,2929
616,416,2939
632,412,2953
646,408,2965
658,406,2980
676,402,2992
680,400,3004
686,398,3017
690,396,3032
692,394,3047
696,394,3055
698,394,3068
700,392,3093
