x,y,t
714,46,5594
714,62,5605
714,70,5618
712,82,5631
712,92,5645
710,104,5660
710,116,5671
708,128,5687
706,152,5699
704,164,5715
704,174,5730
702,186,5746
702,206,5753
700,218,5765
700,228,5777
700,240,5787
700,252,5798
700,266,5813
700,276,5823
700,288,5835
700,300,5848
700,310,5864
700,320,5874
700,334,5887
700,340,5901
700,344,5914
700,348,5931
700,350,5937
700,354,5950
700,356,5964
700,360,5979
700,362,6001
700,364,6029
700,366,6064
698,368,6092
696,370,6130
694,372,6143
692,372,6155
692,374,6168
690,376,6181
688,376,6196
686,378,6206
684,382,6220
682,386,6233
678,394,6246
676,398,6256
676,402,6270
674,406,6283
674,408,6297
672,410,6313
672,414,6322
672,416,6334
670,416,6348
670,418,6365
670,420,6372
670,422,6400
668,422,6413
664,424,6437
656,424,6450
648,420,6464
636,414,6480
608,400,6488
592,392,6502
576,384,6515
560,376,6529
544,370,6540
530,364,6561
504,356,6566
492,352,6579
478,350,6592
468,350,6604
452,350,6617
438,354,6631
420,358,6644
404,362,6654
372,374,6668
358,378,6680
346,384,6696
334,388,6716
326,392,6723
310,400,6736
304,402,6750
296,406,6764
290,410,6780
282,414,6790
278,416,6801
276,418,6814
274,418,6824
272,420,6835
270,422,6849
268,422,6863
264,424,6873
262,428,6885
260,428,6898
258,430,6913
256,432,6950
256,430,7028
254,426,7039
254,420,7052
252,414,7076
250,400,7092
248,394,7104
248,390,7116
248,386,7131
248,380,7146
248,376,7154
250,368,7168
250,366,7181
252,364,7196
254,362,7206
258,362,7219
262,362,7231
272,362,7248
274,364,7258
278,366,7270
282,366,7283
286,368,7297
288,368,7309
296,370,7322
298,370,7334
300,370,7347
302,370,7363
304,372,7373
308,372,7398
310,374,7413
312,374,7423
314,374,7449
316,374,7514
318,376,7552
322,378,7577
322,380,7593
324,380,7603
326,382,7615
330,384,7643
332,386,7653
336,388,7667
340,388,7681
344,390,7693
346,392,7704
348,392,7719
352,394,7733
356,396,7748
362,398,7764
368,400,7774
372,402,7786
376,404,7801
384,408,7814
390,408,7826
394,410,7836
398,412,7848
402,414,7859
408,416,7870
412,418,7884
416,420,7898
418,420,7914
422,420,7923
426,422,7935
428,424,7949
430,426,7964
432,426,7974
708,44,15234
708,50,15246
708,62,15260
706,68,15272
706,76,15285
704,82,15298
704,90,15311
702,96,15322
700,112,15336
698,120,15359
696,134,15375
696,140,15387
694,146,15400
694,152,15413
692,158,15430
692,168,15437
692,172,15451
690,176,15464
690,180,15480
690,184,15489
690,188,15502
690,190,15514
688,198,15530
688,202,15541
688,208,15553
686,212,15566
686,216,15580
686,222,15595
686,226,15605
686,234,15617
686,240,15630
686,244,15645
686,248,15656
684,252,15668
684,258,15682
684,262,15697
684,266,15706
684,276,15720
684,280,15734
684,284,15747
682,288,15758
682,292,15771
682,296,15784
680,304,15796
680,308,15813
678,312,15824
678,316,15835
678,318,15848
678,322,15862
678,326,15878
678,330,15886
678,338,15899
676,342,15915
676,346,15930
676,348,15946
676,356,15961
676,358,15972
676,362,15987
678,370,16000
678,374,16012
678,380,16022
678,384,16033
680,388,16050
680,394,16055
680,398,16067
680,402,16080
680,406,16090
680,408,16104
678,412,16117
678,414,16131
678,418,16146
674,422,16155
670,424,16181
668,426,16194
666,428,16206
664,428,16219
658,428,16234
654,428,16248
650,428,16256
646,428,16270
642,428,16283
636,426,16297
624,426,16312
618,426,16321
610,424,16334
602,424,16348
592,424,16363
586,424,16373
578,424,16394
562,426,16399
554,426,16414
548,428,16426
540,428,16437
534,428,16450
526,430,16464
514,432,16479
508,432,16488
502,432,16501
494,434,16515
486,434,16529
480,436,16540
466,438,16552
458,440,16565
452,440,16580
446,440,16592
440,440,16603
434,442,16617
428,442,16631
416,444,16647
410,442,16655
404,442,16668
398,442,16681
394,442,16696
388,442,16706
374,440,16719
368,440,16732
360,440,16746
356,440,16757
348,438,16771
344,438,16781
332,438,16796
328,438,16807
324,438,16819
320,438,16833
316,438,16847
312,440,16864
308,440,16872
304,440,16885
302,440,16911
296,440,16924
294,440,16936
286,442,16948
284,442,16965
280,442,16973
276,442,16986
272,442,16999
270,442,17013
266,444,17026
260,444,17038
258,444,17052
254,444,17065
252,444,17081
250,446,17090
248,446,17103
242,446,17115
240,446,17145
238,446,17160
236,446,17171
234,446,17209
232,446,17282
232,444,17296
232,442,17311
232,438,17321
232,432,17334
