x,y,t
700,49.33333206176758,2632
696,73.33333587646484,2655
689.3333129882812,104,2668
685.3333129882812,137.3333282470703,2696
681.3333129882812,169.3333282470703,2707
680,197.3333282470703,2732
677.3333129882812,224,2747
674.6666870117188,245.3333282470703,2770
672,264,2805
670.6666870117188,280,2808
669.3333129882812,294.6666564941406,2827
669.3333129882812,309.3333435058594,2848
668,321.3333435058594,2862
668,333.3333435058594,2872
669.3333129882812,344,2899
670.6666870117188,357.3333435058594,2914
672,368,2925
673.3333129882812,377.3333435058594,2950
673.3333129882812,384,2963
674.6666870117188,390.6666564941406,2975
676,396,2988
676,400,3018
677.3333129882812,402.6666564941406,3033
677.3333129882812,405.3333435058594,3046
678.6666870117188,408,3060
680,410.6666564941406,3072
681.3333129882812,412,3087
682.6666870117188,413.3333435058594,3110
685.3333129882812,414.6666564941406,3121
686.6666870117188,416,3151
688,417.3333435058594,3157
689.3333129882812,417.3333435058594,3168
692,417.3333435058594,3182
694.6666870117188,418.6666564941406,3206
697.3333129882812,418.6666564941406,3219
701.3333129882812,420,3232
704,421.3333435058594,3246
706.6666870117188,421.3333435058594,3257
709.3333129882812,421.3333435058594,3284
712,422.6666564941406,3297
713.3333129882812,422.6666564941406,3308
714.6666870117188,422.6666564941406,3321
716,422.6666564941406,3361
713.3333129882812,420,3475
704,416,3501
690.6666870117188,410.6666564941406,3514
673.3333129882812,406.6666564941406,3526
654.6666870117188,401.3333435058594,3552
633.3333129882812,397.3333435058594,3564
608,392,3579
585.3333129882812,388,3602
561.3333129882812,385.3333435058594,3616
537.3333129882812,381.3333435058594,3641
513.3333129882812,377.3333435058594,3654
488,376,3667
464,374.6666564941406,3692
444,374.6666564941406,3705
424,374.6666564941406,3732
405.3333435058594,374.6666564941406,3745
389.3333435058594,373.3333435058594,3755
373.3333435058594,373.3333435058594,3782
360,373.3333435058594,3805
346.6666564941406,373.3333435058594,3811
334.6666564941406,373.3333435058594,3833
322.6666564941406,374.6666564941406,3849
309.3333435058594,376,3879
297.3333435058594,377.3333435058594,3886
286.6666564941406,380,3899
276,382.6666564941406,3922
266.6666564941406,385.3333435058594,3936
257.3333435058594,388,3971
241.3333282470703,394.6666564941406,3983
233.3333282470703,398.6666564941406,4005
225.3333282470703,401.3333435058594,4017
218.6666717529297,404,4039
212,405.3333435058594,4066
205.3333282470703,406.6666564941406,4082
200,408,4099
196,408,4118
193.3333282470703,409.3333435058594,4131
190.6666717529297,409.3333435058594,4155
189.3333282470703,409.3333435058594,4167
