x,y,t
126,224,2036
126,235,2050
126,252,2075
126,271,2088
126,297,2102
126,323,2117
127,345,2134
127,362,2152
128,388,2168
129,400,2185
129,412,2202
130,432,2217
130,440,2234
131,448,2252
132,462,2268
132,469,2283
133,481,2300
134,488,2318
134,499,2334
134,504,2350
134,509,2367
135,518,2384
135,522,2401
135,526,2418
135,534,2435
135,535,2452
135,537,2468
135,538,2485
135,538,2502
136,538,2550
140,536,2567
144,534,2586
148,531,2602
163,521,2618
173,515,2635
196,504,2653
209,499,2667
221,495,2685
234,491,2701
274,483,2717
286,481,2735
296,480,2751
318,478,2768
328,478,2784
338,478,2801
347,478,2818
365,478,2834
374,479,2851
382,479,2867
395,481,2884
406,482,2901
412,482,2918
422,483,2935
427,484,2951
432,484,2968
437,485,2985
445,486,3001
447,486,3017
450,486,3034
453,486,3051
454,486,3068
456,486,3084
456,486,3100
462,486,3125
465,486,3138
467,486,3152
469,486,3169
471,486,3184
473,486,3202
474,486,3218
475,486,3234
476,486,3252
476,486,3267
476,486,3290
