x,y,t
698,141,2015
698,148,2027
698,157,2041
697,166,2058
697,176,2076
697,187,2091
697,198,2107
697,208,2124
698,220,2141
699,243,2158
701,255,2175
702,268,2191
705,290,2208
706,300,2224
706,309,2241
707,328,2257
707,337,2274
708,345,2291
709,368,2308
709,376,2324
709,385,2344
710,393,2358
710,409,2374
710,414,2391
709,420,2408
706,434,2424
705,438,2441
703,442,2458
701,446,2474
697,454,2491
693,462,2508
691,467,2524
685,476,2541
683,480,2558
680,483,2574
676,488,2591
672,491,2608
669,493,2624
657,499,2641
655,500,2880
649,502,2891
642,504,2912
633,505,2925
624,506,2941
614,506,2959
603,506,2974
593,505,2991
581,504,3008
569,502,3025
558,500,3041
546,498,3058
533,496,3074
508,493,3092
496,492,3109
484,492,3125
472,492,3144
461,492,3158
450,492,3179
440,493,3194
431,494,3209
422,495,3225
415,496,3242
408,497,3259
403,497,3276
399,498,3291
395,498,3312
392,499,3333
390,499,3346
389,499,3358
387,500,3407
387,500,3431
