x,y,t
705,43,2140
705,74,2163
705,161,2179
704,188,2195
704,208,2212
704,220,2229
703,240,2245
702,248,2262
701,255,2278
701,267,2295
699,279,2562
696,296,2579
694,311,2595
691,325,2613
687,347,2630
684,356,2645
681,363,2663
676,374,2679
674,378,2695
672,382,2712
671,385,2729
668,391,2745
667,393,2764
666,396,2779
666,399,2796
668,406,2811
662,405,3029
650,404,3046
628,402,3062
603,401,3080
569,400,3095
530,400,3112
476,402,3129
458,402,3151
440,403,3163
426,403,3179
412,403,3195
399,403,3211
386,402,3228
373,402,3245
362,401,3262
341,400,3278
332,399,3295
323,398,3316
315,398,3331
308,397,3345
301,397,3362
295,397,3380
289,397,3394
283,398,3412
277,399,3428
271,400,3445
266,402,3462
259,403,3478
246,406,3497
240,408,3513
234,409,3529
228,410,3545
223,411,3562
218,411,3579
212,411,3596
203,411,3612
199,410,3628
196,410,3646
194,409,3663
194,409,3688
193,409,3700
193,409,3713
193,409,3728
